TIMES,HANDS,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
1,DHP,97,78,46,52,62,76,46,48,18,26
,DHN,281,159,125,68,91,54,66,47,46,57
,,,,,,,,,,,
2,DHP,28,16,10,7,5,46,11,11,6,7
,DHN,31,13,8,45,8,22,10,11,12,7
,,,,,,,,,,,
3,DHP,32,10,31,10,7,24,8,13,23,7
,DHN,102,24,22,9,16,12,46,8,7,10
,,,,,,,,,,,
4,DHP,23,24,37,215,175,11,11,15,48,34
,DHN,64,70,14,35,19,8,10,36,6,24
,,,,,,,,,,,
5,DHP,280,240,47,181,195,29,78,86,5,45
,DHN,90,43,103,90,79,110,80,42,34,45
,,,,,,,,,,,
6,DHP,210,38,17,20,20,76,11,35,48,7
,DHN,40,14,25,26,14,15,17,10,23,30
,,,,,,,,,,,
7,DHP,14,95,81,85,149,20,36,33,60,22
,DHN,100,14,45,24,14,41,36,16,18,29
,,,,,,,,,,,
8,DHP,154,72,11,13,46,32,10,19,9,10
,DHN,80,38,11,13,8,19,8,9,9,13
,,,,,,,,,,,
9,DHP,37,18,71,444,14,170,24,78,27,13
,DHN,30,107,220,246,103,55,150,27,82,33
,,,,,,,,,,,
10,DHP,90,79,11,47,60,20,65,90,50,47
,DHN,48,141,130,145,53,46,42,17,73,12
,,,,,,,,,,,
11,DHP,69,68,103,360,155,139,34,68,19,22
,DHN,63,87,4,9,15,10,21,10,6,36
,,,,,,,,,,,
12,DHP,424,206,59,32,43,17,74,8,17,9
,DHN,24,47,10,10,23,10,10,23,7,7
,,,,,,,,,,,
13,DHP,220,134,80,54,30,12,7,7,14,6
,DHN,14,20,7,2,3,11,3,9,2,6
,,,,,,,,,,,
14,DHP,175,160,30,90,20,66,67,48,14,16
,DHN,51,26,34,14,64,23,31,16,13,10
,,,,,,,,,,,
15,DHP,15,52,38,120,124,31,15,118,30,11
,DHN,9,21,29,36,6,21,8,24,4,5
,,,,,,,,,,,
16,DHP,200,310,151,100,56,24,29,12,22,12
,DHN,160,61,67,38,72,40,10,10,15,16
,,,,,,,,,,,
17,DHP,207,124,25,34,83,75,34,12,3,40
,DHN,96,5,26,62,10,10,23,19,4,7
,,,,,,,,,,,
18,DHP,50,160,240,190,150,30,19,23,19,7
,DHN,48,10,22,20,12,9,11,9,9,10
,,,,,,,,,,,
19,DHP,128,83,5,6,19,10,8,40,21,7
,DHN,17,16,11,12,10,9,13,51,20,8
,,,,,,,,,,,
20,DHP,173,114,139,20,67,44,29,56,18,21
,DHN,80,82,20,30,18,16,11,8,10,8
